지역,구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계
서울,발생건수,2,1,0,4,2,7,6,6,2,6,7,5,48
서울,환자수,70,6,0,50,26,152,37,35,10,104,102,85,677
부산,발생건수,1,0,6,1,3,4,5,7,5,1,2,5,40
부산,환자수,2,0,98,6,18,467,108,78,238,81,21,94,1211
대구,발생건수,0,0,1,0,3,0,4,1,1,1,1,2,14
대구,환자수,0,0,115,0,10,0,36,66,27,4,7,11,276
인천,발생건수,0,0,0,0,0,0,4,0,1,0,0,1,6
인천,환자수,0,0,0,0,0,0,174,0,2,0,0,32,208
광주,발생건수,1,1,0,0,2,0,2,0,0,0,0,1,7
광주,환자수,3,16,0,0,16,0,5,0,0,0,0,14,54
대전,발생건수,1,1,1,0,0,1,1,0,0,0,0,1,6
대전,환자수,39,51,125,0,0,5,4,0,0,0,0,4,228
울산,발생건수,0,0,1,0,0,0,2,0,0,0,0,0,3
울산,환자수,0,0,5,0,0,0,10,0,0,0,0,0,15
세종,발생건수,0,0,0,0,0,0,0,1,0,0,0,0,1
세종,환자수,0,0,0,0,0,0,0,4,0,0,0,0,4
경기,발생건수,1,2,2,2,5,7,8,4,3,2,4,9,49
경기,환자수,12,24,69,8,88,129,68,287,63,93,43,143,1027
강원,발생건수,0,0,1,0,0,1,5,0,5,1,0,0,13
강원,환자수,0,0,5,0,0,3,38,0,77,3,0,0,126
충북,발생건수,0,1,0,1,1,1,0,2,1,1,2,1,11
충북,환자수,0,2,0,3,41,5,0,6,6,2,16,15,96
충남,발생건수,1,0,0,2,3,2,1,2,0,0,6,4,21
충남,환자수,2,0,0,4,141,27,2,22,0,0,36,43,277
전북,발생건수,0,0,0,0,2,0,3,0,0,2,1,1,9
전북,환자수,0,0,0,0,75,0,8,0,0,58,4,28,173
전남,발생건수,0,0,1,0,0,2,2,1,4,1,1,1,13
전남,환자수,0,0,5,0,0,3,13,6,43,5,2,3,80
경북,발생건수,2,0,0,0,2,3,2,2,2,3,0,1,17
경북,환자수,8,0,0,0,15,85,15,14,20,45,0,52,254
경남,발생건수,0,0,0,1,3,6,7,3,1,2,2,1,26
경남,환자수,0,0,0,3,39,108,89,10,11,29,77,12,378
제주,발생건수,0,1,0,1,1,7,1,0,2,2,0,0,15
제주,환자수,0,24,0,74,34,44,13,0,29,13,0,0,231
불명,발생건수,0,0,0,0,0,0,2,2,1,0,0,0,5
불명,환자수,0,0,0,0,0,0,30,10,55,0,0,0,95
합계,발생건수,9,7,13,12,27,41,55,31,28,22,26,33,304
합계,환자수,136,123,422,148,503,1028,650,538,581,437,308,536,5410
