서울,발생건수,1,1,3,3,2,5,1,5,0,0,3,2,26,환자수,30,8,62,178,10,58,8,154,0,0,20,53,581
부산,발생건수,0,1,2,2,2,2,5,5,4,2,2,2,29,환자수,0,21,51,29,43,46,595,91,22,7,6,5,916
대구,발생건수,0,0,0,1,1,1,2,1,0,0,0,0,6,환자수,0,0,0,79,15,63,33,29,0,0,0,0,219
인천,발생건수,0,0,0,1,0,1,0,0,1,0,1,1,5,환자수,0,0,0,25,0,15,0,0,29,0,14,16,99
광주,발생건수,1,1,0,2,1,0,1,3,1,0,0,1,11,환자수,2,2,0,5,4,0,16,14,4,0,0,3,50
대전,발생건수,0,0,2,0,0,0,0,0,0,0,0,2,4,환자수,0,0,7,0,0,0,0,0,0,0,0,5,12
울산,발생건수,0,0,0,0,0,1,0,0,0,0,0,0,1,환자수,0,0,0,0,0,5,0,0,0,0,0,0,5
세종,발생건수,1,0,1,0,0,0,0,0,0,0,0,0,2,환자수,148,0,110,0,0,0,0,0,0,0,0,0,258
경기,발생건수,2,2,1,4,4,3,7,10,5,3,1,0,42,환자수,50,59,67,28,54,43,421,327,76,34,2,0,1161
강원,발생건수,0,3,3,1,1,3,1,2,0,0,0,2,16,환자수,0,12,11,6,3,26,3,59,0,0,0,150,270
충북,발생건수,1,0,0,0,2,2,3,8,2,2,1,1,22,환자수,9,0,0,0,35,6,24,83,5,118,30,2,312
충남,발생건수,1,2,1,4,0,2,2,3,1,1,1,1,19,환자수,6,193,46,14,0,18,118,56,9,2,16,30,508
전북,발생건수,0,0,2,0,1,1,0,1,0,1,1,1,8,환자수,0,0,16,0,12,6,0,3,0,17,24,25,103
전남,발생건수,0,0,1,0,2,1,2,0,2,2,3,0,13,환자수,0,0,1,0,8,42,9,0,15,44,26,0,145
경북,발생건수,1,0,0,1,1,1,1,4,3,0,0,2,14,환자수,19,0,0,2,4,4,3,29,22,0,0,46,129
경남,발생건수,1,1,2,3,0,1,2,2,3,0,1,1,17,환자수,28,3,11,45,0,11,61,28,134,0,4,10,335
제주,발생건수,0,0,2,2,1,0,1,1,1,0,0,0,8,환자수,0,0,17,6,6,0,2,3,19,0,0,0,53
불명,발생건수,0,0,1,0,0,0,0,1,0,0,0,0,2,환자수,0,0,2,0,0,0,0,2,0,0,0,0,4
합계,발생건수,9,11,21,24,18,24,28,46,23,11,14,16,245,환자수,292,298,401,417,194,343,1293,878,335,222,142,345,5160
