서울,발생건수,3,0,0,1,0,2,3,2,0,1,0,1,13,환자수,9,0,0,5,0,7,124,51,0,6,0,12,214
부산,발생건수,2,0,0,0,1,4,3,4,1,1,1,0,17,환자수,5,0,0,0,2,48,44,19,4,9,117,0,248
대구,발생건수,2,0,0,0,0,1,0,2,2,1,0,1,9,환자수,12,0,0,0,0,3,0,16,33,7,0,3,74
인천,발생건수,0,0,0,0,0,1,1,1,1,0,0,0,4,환자수,0,0,0,0,0,17,104,3,4,0,0,0,128
광주,발생건수,0,0,0,0,0,0,1,0,3,0,1,0,5,환자수,0,0,0,0,0,0,10,0,45,0,15,0,70
대전,발생건수,0,0,0,0,0,0,1,0,0,0,0,2,3,환자수,0,0,0,0,0,0,6,0,0,0,0,46,52
울산,발생건수,1,0,0,0,0,1,1,1,0,0,0,0,4,환자수,2,0,0,0,0,16,4,10,0,0,0,0,32
세종,발생건수,0,1,0,0,0,0,0,0,0,0,0,0,1,환자수,0,6,0,0,0,0,0,0,0,0,0,0,6
경기,발생건수,9,5,2,1,1,2,7,2,2,2,4,3,40,환자수,125,51,113,6,6,107,184,11,30,6,87,17,743
강원,발생건수,0,0,0,0,0,0,1,2,1,1,1,0,6,환자수,0,0,0,0,0,0,3,24,4,19,10,0,60
충북,발생건수,2,0,1,2,0,1,1,0,3,0,1,0,11,환자수,10,0,4,83,0,39,6,0,23,0,2,0,167
충남,발생건수,0,0,0,0,0,1,0,0,0,0,1,0,2,환자수,0,0,0,0,0,94,0,0,0,0,19,0,113
전북,발생건수,5,0,0,0,1,0,1,0,2,1,0,0,10,환자수,32,0,0,0,5,0,13,0,11,2,0,0,63
전남,발생건수,1,1,0,0,1,5,1,0,0,1,0,0,10,환자수,6,9,0,0,3,68,2,0,0,6,0,0,94
경북,발생건수,2,2,0,3,0,0,4,1,0,1,0,0,13,환자수,5,9,0,14,0,0,77,14,0,100,0,0,219
경남,발생건수,1,0,0,1,1,0,2,2,1,1,0,0,9,환자수,11,0,0,4,3,0,96,6,3,6,0,0,129
제주,발생건수,0,0,0,0,0,1,3,1,0,1,1,0,7,환자수,0,0,0,0,0,89,15,6,0,10,2,0,122
합계,발생건수,28,9,3,8,5,19,30,18,16,11,10,7,164,환자수,217,75,117,112,19,488,688,160,157,171,252,78,2534
